x,y,hue
0.49909383,0.87512165,9
0.2593321,-0.17829369,7
0.030785277,0.43933326,4
0.57746947,0.66516864,3
0.4093483,1.2813333,2
1.2510159,-0.11871973,7
0.46450707,0.7320523,5
0.059720904,0.1060943,1
0.33032322,0.3246181,3
0.7401681,0.36281163,2
1.6732081,1.994612,0
0.25931597,-0.051602364,1
0.20723495,1.1423585,3
0.5146799,-0.035639644,7
0.44735572,0.32800853,9
0.3145845,1.186692,0
0.5194039,1.1463563,5
0.34830347,1.3369354,0
0.7271212,0.15045221,3
0.3380654,-0.41277257,1
0.48504353,0.60559,6
0.40684083,0.6739845,9
0.043858483,0.6368222,8
0.122308895,-0.21155696,7
0.006084442,0.0927409,8
0.4121943,0.024859965,7
0.15524177,0.47160247,2
0.30483192,0.7334929,2
-0.4724349,0.2807794,1
-0.2662146,0.5580247,1
0.28361,0.13270065,6
0.52702945,0.8535917,8
1.7460536,0.3113435,0
0.3037844,0.7582646,2
0.58665484,0.045514688,9
0.45585835,0.72094357,4
0.0075457767,0.47318646,5
0.5967285,0.18128532,7
0.34867448,0.6035791,0
0.14588857,0.8813927,2
-0.418141,0.15071908,1
1.1600409,0.6742602,0
0.46085757,0.6363299,4
0.33072963,2.294389,0
0.26511815,1.6370747,2
-0.46714985,0.5543641,1
1.1942432,0.5072863,4
1.3295912,0.61021423,5
0.34226552,1.0004796,5
0.85893035,0.54905236,6
0.0688992,0.6206612,5
1.0616609,0.059251934,4
0.47968602,0.10050431,7
0.83248687,0.12565114,9
0.35254923,0.695264,4
0.6966949,0.39572096,6
0.42980355,0.09372616,4
0.07382184,0.48099446,2
0.5509913,0.5594675,5
0.4273585,1.0251272,0
0.6430335,0.12197365,6
0.6177015,0.10688299,9
0.42404884,0.2544339,9
1.3242629,0.943043,0
-0.20514302,-0.4049359,1
0.6179505,0.99785274,2
0.25318593,0.39665008,8
0.329899,0.31409287,5
0.6738955,0.085095495,9
0.23695242,0.32464284,9
0.22026652,-0.0032892227,1
0.0184986,-0.019127756,1
0.15757373,0.8177587,2
0.47592813,0.33327103,4
1.3743861,0.5017929,0
-0.120178044,0.08950448,1
0.09972988,0.47843102,6
0.5870137,0.4352519,1
0.42329746,0.4676094,6
1.3574159,0.67211354,6
0.99533063,0.5964279,3
0.24385212,0.177448,1
0.5359429,0.8814054,3
0.218428,0.99518216,3
0.65122217,0.03138821,8
-0.09176798,0.6393144,4
1.3525605,0.04177406,6
0.18343973,0.080883265,7
1.0947194,0.87361073,0
1.2442074,0.06781018,7
1.5626721,0.40071788,6
0.3937105,0.13237198,4
0.23675165,0.137546,4
-0.3664001,0.03049174,1
0.038545404,0.46615118,1
0.3087914,0.12966725,9
0.21905968,0.72899425,8
0.46549916,-0.026960999,7
0.67130685,0.7967993,3
0.99311197,0.16748257,9
0.60696584,0.09992955,3
0.16816744,0.73137736,2
0.8670154,0.72017723,3
-0.13167432,0.44550037,1
0.0007847771,0.77846223,5
0.31578594,0.2694627,8
0.6192176,0.23380142,6
0.042752407,0.68948406,9
0.060066104,0.35412705,2
0.36500597,0.96603096,3
1.0134122,0.80507576,5
0.86781454,-0.3981999,7
0.58656925,0.859198,5
